title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
"Ouray Sportswear NCAA Army Black Knights Epic Washed Twill Cap, Adjustable, Black",https://amazon.com/Ouray-Sportswear-Knights-Washed-Adjustable/dp/B07QKHWQBZ/ref=sr_1_39?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-39,https://m.media-amazon.com/images/I/616GA5XtzDL._AC_UL960_QL65_ML3_.jpg,,,$22.25,True,,,False
NCAA Captain Hat Adjustable Cap Florida Gators,https://amazon.com/Captain-Adjustable-Cap-Florida-Gators/dp/B07HVQSB14/ref=sr_1_40?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-40,https://m.media-amazon.com/images/I/71BOtMhH+uL._AC_UL960_QL65_ML3_.jpg,,,$11.95,True,,,False
"Ouray Sportswear NCAA Providence Friars Epic Washed Twill Cap, White",https://amazon.com/Ouray-Sportswear-Purdue-Boilermakers-Adjustable/dp/B07DNT8M7S/ref=sr_1_41?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-41,https://m.media-amazon.com/images/I/81ycdReLaLL._AC_UL960_QL65_ML3_.jpg,,,$16.63,True,,,False
"NCAA Kansas Jayhawks Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Kansas-Jayhawks-Unisex-Game-Adjustable/dp/B01LZUBCRK/ref=sr_1_42?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-42,https://m.media-amazon.com/images/I/61eOXJC0xxL._AC_UL960_QL65_ML3_.jpg,,,$17.99,True,,,False
Top of the World Temple Owls Red Gray Offroad Mesh Adjustable Snapback Hat Cap,https://amazon.com/Top-World-Offroad-Adjustable-Snapback/dp/B01LDKR9DG/ref=sr_1_43?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-43,https://m.media-amazon.com/images/I/51-gUcCZ6XL._AC_UL960_QL65_ML3_.jpg,,,$21.99,False,$5.89,,False
Captivating Headwear Northwestern Wildcats Adult Adjustable Cap Hat,https://amazon.com/Captivating-Headwear-Northwestern-Wildcats-Adjustable/dp/B084T5CL6H/ref=sr_1_44?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-44,https://m.media-amazon.com/images/I/81VR3g3tLPL._AC_UL960_QL65_ML3_.jpg,,,$19.95,True,,,False
"NCAA Northern Arizona Lumberjacks Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Northern-Arizona-Lumberjacks-Game-Adjustable/dp/B01LXHR8TN/ref=sr_1_45?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-45,https://m.media-amazon.com/images/I/61LY12ZanXL._AC_UL960_QL65_ML3_.jpg,,,$17.99,True,,,False
Ivysport Cotton Short Sleeve Color T-Shirt with Classic Logo,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04438193B5IBSQPBS6T2&url=%2FIvysport-University-Short-Sleeve-T-Shirt-Cardinal%2Fdp%2FB07SHH1SRT%2Fref%3Dsr_1_46_sspa%3Fkeywords%3Dtemple%2Buniversity%2Bhat%26qid%3D1585383880%26sr%3D8-46-spons%26psc%3D1&qualifier=1585383880&id=8526885238018064&widgetName=sp_btf,https://m.media-amazon.com/images/I/61ZUD8XpeYL._AC_UL960_QL65_ML3_.jpg,4.5,161,$19.95,True,,,False
Top of the World NCAA Relaxed Fit Adjustable Hat Team Color Primary Icon,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_2?ie=UTF8&adId=A00657292CAANNL4FRHYB&url=%2FAdjustable-Cotton-Crew-Hat-Cap%2Fdp%2FB007GLXVYS%2Fref%3Dsr_1_47_sspa%3Fkeywords%3Dtemple%2Buniversity%2Bhat%26qid%3D1585383880%26sr%3D8-47-spons%26psc%3D1&qualifier=1585383880&id=8526885238018064&widgetName=sp_btf,https://m.media-amazon.com/images/I/81jHqyktQVL._AC_UL960_QL65_ML3_.jpg,4.7,428,$19.99,True,,,False
Zephyr Men's Temple Owls Competitor Zwool Adjustable Hat Size: Adj Cardinal,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_3?ie=UTF8&adId=A02543882S6RTPHTFVNXU&url=%2FZephyr-Temple-Competitor-Adjustable-Cardinal%2Fdp%2FB01N499SHH%2Fref%3Dsr_1_48_sspa%3Fkeywords%3Dtemple%2Buniversity%2Bhat%26qid%3D1585383880%26sr%3D8-48-spons%26psc%3D1&qualifier=1585383880&id=8526885238018064&widgetName=sp_btf,https://m.media-amazon.com/images/I/71lXUO9a4YL._AC_UL960_QL65_ML3_.jpg,5.0,1,$20.75,False,$6.97,,False
Top of the World NCAA Relaxed Fit Adjustable Mesh Offroad Hat Team Color Icon,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_4?ie=UTF8&adId=A0828013V1RU8LH4FBTC&url=%2FTop-World-Official-Adjustable-Offroad%2Fdp%2FB071YM278G%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dtemple%2Buniversity%2Bhat%26qid%3D1585383880%26sr%3D8-49-spons%26psc%3D1&qualifier=1585383880&id=8526885238018064&widgetName=sp_btf,https://m.media-amazon.com/images/I/91t1Q0K-qUL._AC_UL960_QL65_ML3_.jpg,4.7,941,$18.39,True,,,False
