title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
Echo Show 8 - stay connected and in touch with Alexa  - Charcoal,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_2?ie=UTF8&adId=A02869872FRMTZ1J98K5I&url=%2FEcho-Show-8%2Fdp%2FB07PF1Y28C%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dhd%2Btv%26qid%3D1585364505%26sr%3D8-28-spons%26psc%3D1&qualifier=1585364504&id=7468430639703371&widgetName=sp_mtf,https://m.media-amazon.com/images/I/51YBNqnnCyL._AC_UY654_QL65_ML3_.jpg,4.6,26004,$129.99,True,,,False
"LG 86UM8070PUA 86"" 4K Ultra HD Smart LED TV (2019), Black",https://amazon.com/LG-86UM8070PUA-Ultra-Smart-Black/dp/B07PTMXPHP/ref=sr_1_29?keywords=hd+tv&qid=1585364505&sr=8-29,https://m.media-amazon.com/images/I/91AQD1ugakL._AC_UY654_QL65_ML3_.jpg,4.5,227,,False,,,True
[2020 LATEST] Amplified HD Digital TV Antenna Long 120 Miles Range - Support 4K 1080p Fire tv Stick and All Older TV's Indoor Powerful HDTV Amplifier Signal Booster - 18ft Coax Cable/AC Adapter,https://amazon.com/Latest-Amplified-Digital-Antenna-65-80/dp/B07FVLXHYV/ref=sr_1_30?keywords=hd+tv&qid=1585364505&sr=8-30,https://m.media-amazon.com/images/I/71lLietqkJL._AC_UY654_QL65_ML3_.jpg,4.6,10387,$27.95,True,,,True
"VIZIO 50"" Class V-Series 4K Ultra HD (2160p) Smart LED TV (V505-G9) (Renewed)",https://amazon.com/VIZIO-Class-Ultra-V505-G9-Renewed/dp/B07SB5C76Y/ref=sr_1_31?keywords=hd+tv&qid=1585364505&sr=8-31,https://m.media-amazon.com/images/I/61Uxj8jS4ZL._AC_UY654_QL65_ML3_.jpg,3.9,84,$298.00,True,,17,False
"Samsung 43"" TU8000 Crystal UHD 4K UHD Smart TV with Alexa Built-in UN43TU8000FXZA 2020",https://amazon.com/Samsung-TU8000-Crystal-Built-UN43TU8000FXZA/dp/B084JHKT7S/ref=sr_1_32?keywords=hd+tv&qid=1585364505&sr=8-32,https://m.media-amazon.com/images/I/71RiQZ0J2SL._AC_UY654_QL65_ML3_.jpg,3.9,17,,True,,10,False
"LG 70UM7370PUA Alexa Built-in 70"" 4K Ultra HD Smart LED TV (2019)",https://amazon.com/LG-70UM7370PUA-Alexa-Built-Ultra/dp/B07PQ96R5C/ref=sr_1_33?keywords=hd+tv&qid=1585364505&sr=8-33,https://m.media-amazon.com/images/I/91vvJsc2xhL._AC_UY654_QL65_ML3_.jpg,4.3,111,,True,,10,False
"Myonaz LED HD TV 24 inch 1080p Flat Screen TV HDMI USB, PC Audio, RF, VGA (2020 Model)",https://amazon.com/Myonaz-LED-HD-TV-32-inch-720p-Flat-Screen-TV-3X-HDMI-2X-Audio-32-inch/dp/B07PM2NLG5/ref=sr_1_34?keywords=hd+tv&qid=1585364505&sr=8-34,https://m.media-amazon.com/images/I/61wBR-v9MsL._AC_UY654_QL65_ML3_.jpg,3.9,86,$114.98,True,,,False
"Sceptre 32"" Class HD (720P) LED TV (X322BV-SR)",https://amazon.com/Sceptre-Class-720P-LED-X322BV-SR/dp/B07GGSD1KS/ref=sr_1_35?keywords=hd+tv&qid=1585364505&sr=8-35,https://m.media-amazon.com/images/I/91elOhlcXcL._AC_UY654_QL65_ML3_.jpg,4.3,33,,False,,,True
"VIZIO D-Series 24” Class (23.5"" Diag.) Smart TV",https://amazon.com/VIZIO-Class-23-5-Diag-Smart/dp/B07W1121LW/ref=sr_1_36?keywords=hd+tv&qid=1585364505&sr=8-36,https://m.media-amazon.com/images/I/610hoL56MYL._AC_UY654_QL65_ML3_.jpg,4.0,242,$139.99,True,,15,True
"Fire TV Stick streaming media player with Alexa built in, includes Alexa Voice Remote, HD, easy set-up, released 2019",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A032957537U7AAVZCBAQV&url=%2FFire-TV-Stick-with-Alexa-Voice-Remote%2Fdp%2FB0791TX5P5%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dhd%2Btv%26qid%3D1585364505%26sr%3D8-37-spons%26psc%3D1&qualifier=1585364504&id=7468430639703371&widgetName=sp_btf,https://m.media-amazon.com/images/I/51ZdmnHKukL._AC_UY654_QL65_ML3_.jpg,4.5,161404,$39.99,True,,,False
